dataset,column_or_rule,issue,affected_rows,affected_rate_pct,severity,confidence,impact,recommended_action
transactions,Comparable store coverage by year,"Only 13 stores have transactions in 1997, compared with 24 in 1998.",N/A,N/A,High,High,A direct total-company YoY comparison mixes business growth with a change in store coverage.,Report total growth and same-store growth separately. Use the 13 stores present in both years as the comparable cohort.
transactions,Missing transaction-row identifier,"The fact files do not contain a transaction ID, receipt ID, or order ID.",269720,100.0,High,High,"Rows cannot be uniquely traced to an order, and exact-looking duplicates cannot be confirmed as errors.",Create a surrogate row ID during cleaning. Do not report Total Orders or Average Order Value.
returns,Missing return and transaction identifiers,Returns cannot be linked to a customer or a specific sales row.,7087,100.0,High,High,Customer-level return analysis and exact return-to-sale matching are not supported.,"Create a surrogate return row ID and limit return analysis to date, product, store, and aggregate rates."
transactions,Exact-looking duplicate rows,9 rows repeat all available transaction fields.,9,0.0033,Medium,Medium,Removing them without a true transaction ID could undercount legitimate repeated purchases; keeping true duplicates could slightly overstate sales.,Flag the rows but retain them until a source-level uniqueness rule is available.
returns,Exact-looking duplicate rows,5 rows repeat all available return fields.,5,0.0706,Medium,Medium,"The return quantity may be slightly overstated if these are duplicate records, but identical return events are also possible.",Flag and review; do not deduplicate automatically.
calendar / transactions,Dates with no transaction rows,57 calendar dates have no sales rows: 42 in 1997 and 15 in 1998.,57,7.8082,Medium,Medium,The gaps may represent legitimate zero-sales days or missing extracts. Imputing sales would create unsupported values.,"Keep the complete calendar, show zero activity through the date dimension, and document the source uncertainty."
customers,customer_postal_code data type,20 postal codes are four digits because the field was loaded as an integer.,20,0.1945,Medium,High,Leading zeros are lost and postal codes may display incorrectly or join incorrectly to external geography data.,Convert the field to text and left-pad four-digit values to five characters.
products,recyclable binary encoding,687 blank values coexist with 1 values; the source uses blank as the false state.,687,44.0385,Low,High,Treating these blanks as unknown would overstate missingness and make the field harder to use.,"Map blank to False and 1 to True, then store as boolean."
products,low_fat binary encoding,1008 blank values coexist with 1 values; the source uses blank as the false state.,1008,64.6154,Low,High,Treating these blanks as unknown would overstate missingness and make the field harder to use.,"Map blank to False and 1 to True, then store as boolean."
customers,last_name completeness,One customer record has no last name.,1,0.0097,Low,High,"Customer display labels may be incomplete, but analytical joins and measures are unaffected.",Keep the source value and use 'Unknown' only in the presentation layer if a full name is required.
customers,Age at account opening,570 customers were under 16 on the recorded account-open date.,570,5.5442,Low,Medium,The records may represent household accounts or synthetic data. Age-at-account-open analysis would be unreliable without context.,"Retain the dates, document the limitation, and avoid using age at account opening as a management KPI."
dimensions,Dimension members without sales activity,1439 customers and 1 product have no transaction rows in the two-year fact data.,1440,N/A,Low,High,Counting all customer dimension rows would overstate active customers.,"Keep dimension members, but define Active Customers and Active Products from the transaction fact."
multiple tables,Raw schema types,"Date fields are text, and account number, SKU, and postal code are numeric identifiers.",N/A,N/A,Medium,High,"Incorrect data types can break date intelligence, formatting, sorting, and identifier preservation.",Apply explicit types during cleaning and validate failed casts before exporting processed data.
