group,metric_id,name_en,name_fa,business_definition,formula,required_fields,python_expression,dax_measure,dashboard_display,management_interpretation,limitation
Executive,total_revenue,Total Revenue,درآمد کل,Sales value generated from units sold at retail price.,SUM(FactSales[revenue]),FactSales.revenue,sales['revenue'].sum(),[Total Revenue],Primary KPI card; currency,Shows business scale for the selected period and filters.,Revenue is not cash collected and does not include tax information.
Executive,gross_product_profit,Gross Product Profit,سود ناخالص محصول,Revenue remaining after product cost.,Total Revenue - Total Product Cost,FactSales.gross_product_profit,sales['gross_product_profit'].sum(),[Gross Product Profit],Primary KPI card; currency,Tracks the value generated before store and corporate operating expenses.,"This is not net profit because payroll, rent, marketing and other operating costs are unavailable."
Executive,gross_margin_pct,Gross Margin %,حاشیه سود ناخالص,Share of revenue retained after product cost.,Gross Product Profit / Total Revenue,FactSales.revenue; FactSales.gross_product_profit,sales['gross_product_profit'].sum() / sales['revenue'].sum(),[Gross Margin %],Primary KPI card; percentage,Separates growth in sales volume from improvement in unit economics.,Stable gross margin does not imply stable net margin.
Executive,revenue_growth_pct,Reported Revenue Growth %,رشد گزارش‌شده درآمد,Change in total revenue versus the previous year using all active stores.,(Current Revenue - Previous Year Revenue) / Previous Year Revenue,FactSales.revenue; DimDate.date,revenue_1998 / revenue_1997 - 1,[Revenue Growth %],KPI card beside same-store growth,"Shows total network growth, including the effect of newly active stores.","The 1997 and 1998 store bases differ, so this is not an organic-growth measure."
Executive,same_store_revenue_growth_pct,Same-Store Revenue Growth %,رشد درآمد فروشگاه‌های همسان,Revenue growth for the 13 stores with sales in both years.,(Comparable Revenue CY - Comparable Revenue PY) / Comparable Revenue PY,FactSales.revenue; DimDate.date; DimStore.is_same_store_comparable,same_store_revenue_1998 / same_store_revenue_1997 - 1,[Same-Store Revenue Growth %],Primary growth card; percentage,Provides a cleaner view of organic performance than reported growth.,The comparable-store flag is fixed for this two-year dataset and should be redesigned for longer histories.
Executive,quantity_sold,Quantity Sold,تعداد کالای فروخته‌شده,Total units sold in the selected context.,SUM(FactSales[quantity_sold]),FactSales.quantity_sold,sales['quantity_sold'].sum(),[Quantity Sold],Secondary KPI card or trend,Helps distinguish volume growth from price and product-mix effects.,Units from different products are counted equally regardless of value or weight.
Executive,active_customers,Active Customers,مشتریان فعال,Distinct customers with at least one sales line in the selected period.,DISTINCTCOUNT(FactSales[customer_key]),FactSales.customer_key,sales['customer_key'].nunique(),[Active Customers],Secondary KPI card,Shows the size of the purchasing customer base.,The dataset does not distinguish acquisition source or customer status outside observed purchases.
Executive,return_quantity_rate_pct,Return Quantity Rate %,نرخ مقداری مرجوعی,"Returned units divided by sold units for the same visible product, store and date context.",Returned Quantity / Quantity Sold,FactReturns.return_quantity; FactSales.quantity_sold; shared dimensions,returns['return_quantity'].sum() / sales['quantity_sold'].sum(),[Return Quantity Rate %],Guardrail KPI and alert visual,Highlights products or stores that may require quality or process review.,Returns cannot be matched to the original sale or customer; do not use this KPI by customer.
Operational,total_product_cost,Total Product Cost,هزینه کل محصول,Cost of units sold based on product unit cost.,SUM(FactSales[product_cost_amount]),FactSales.product_cost_amount,sales['product_cost_amount'].sum(),[Total Product Cost],Supporting KPI or tooltip,Explains the cost side of gross product profit.,Excludes inventory carrying cost and operating expenses.
Operational,sales_lines,Sales Lines,ردیف‌های فروش,Number of sales records at the product-customer-store-date grain.,COUNTROWS(FactSales),FactSales.sales_line_key,len(sales),[Sales Lines],Operational KPI or tooltip,"Measures transaction-line activity, not the number of customer orders.","There is no order ID, so this must never be labelled Total Orders."
Operational,revenue_per_active_customer,Revenue per Active Customer,درآمد به‌ازای مشتری فعال,Average revenue generated per purchasing customer.,Total Revenue / Active Customers,FactSales.revenue; FactSales.customer_key,sales['revenue'].sum() / sales['customer_key'].nunique(),[Revenue per Active Customer],Customer KPI card or membership comparison,Compares customer value across periods and segments.,"This is period revenue per active customer, not customer lifetime value."
Operational,repeat_customer_rate_pct,Repeat Customer Rate %,نرخ مشتریان تکرارشونده,Share of active customers purchasing on more than one distinct date in the selected period.,Repeat Customers / Active Customers,FactSales.customer_key; FactSales.transaction_date_key,(sales.groupby('customer_key')['transaction_date_key'].nunique() > 1).mean(),[Repeat Customer Rate %],"Customer KPI; use at month, quarter or year level",Indicates whether the active customer base returns within the measured period.,The value is sensitive to the selected date window and will be zero at a single-day grain.
Operational,revenue_per_store,Revenue per Active Store,درآمد به‌ازای فروشگاه فعال,Average revenue across stores with sales in the selected period.,Total Revenue / Active Stores,FactSales.revenue; FactSales.store_key,sales['revenue'].sum() / sales['store_key'].nunique(),[Revenue per Active Store],Store summary KPI,Normalizes total revenue for changes in the number of active stores.,Average store performance can hide large differences by format and location.
Operational,revenue_per_sqft,Revenue per Square Foot,درآمد به‌ازای فوت مربع,Revenue divided by total floor area of stores active in the selected period.,Total Revenue / Active Store Area,FactSales.revenue; DimStore.total_sqft,sales['revenue'].sum() / active_store_area,[Revenue per Square Foot],Store efficiency KPI and ranked bar,Compares how efficiently stores use their physical footprint.,The available floor-area value is static and does not reflect temporary closures or layout changes within a period.
Operational,profit_per_sqft,Gross Profit per Square Foot,سود ناخالص به‌ازای فوت مربع,Gross product profit divided by total floor area of active stores.,Gross Product Profit / Active Store Area,FactSales.gross_product_profit; DimStore.total_sqft,sales['gross_product_profit'].sum() / active_store_area,[Gross Profit per Square Foot],Store efficiency KPI or scatter axis,Balances store productivity with product margin.,"Does not include store operating expenses, so it is not store-level net profit per square foot."
Operational,average_revenue_per_sales_line,Average Revenue per Sales Line,میانگین درآمد هر ردیف فروش,Average revenue per recorded product sales line.,Total Revenue / Sales Lines,FactSales.revenue; FactSales.sales_line_key,sales['revenue'].sum() / len(sales),[Average Revenue per Sales Line],Tooltip or detailed operational KPI,Tracks changes in value at the available sales-line grain.,This is not Average Order Value because the dataset has no order identifier.
Operational,top_10pct_customer_revenue_contribution_pct,Top 10% Customer Revenue Contribution %,سهم درآمد ۱۰٪ مشتریان برتر,Share of revenue generated by the highest-revenue 10% of active customers.,Revenue from top 10% active customers / Total Revenue,FactSales.customer_key; FactSales.revenue,top_10_percent_customer_revenue / total_revenue,[Top 10% Customer Revenue Contribution %],Concentration KPI or Pareto view,Shows how dependent revenue is on the highest-value customer group.,"The customer set changes with filters, so comparisons need the same period and segment definition."
Operational,top_product_revenue_contribution_pct,Top Product Revenue Contribution %,سهم درآمد محصول برتر,Revenue share generated by the single highest-revenue product.,Top Product Revenue / Total Revenue,FactSales.product_key; FactSales.revenue,sales.groupby('product_key')['revenue'].sum().max() / sales['revenue'].sum(),[Top Product Revenue Contribution %],Product concentration KPI or tooltip,Identifies whether revenue depends heavily on one product.,A low share does not prove a healthy assortment; category and brand concentration should also be reviewed.
